	subject	run	disp_max_pc_in	disp_med_pc_in	disp_max_pc_out	disp_med_pc_out	disp_max_z_in	disp_med_z_in	disp_max_z_out	disp_med_z_out	max_pc_eson_in	med_pc_eson_in	max_pc_esoff_out	med_pc_esoff_out	max_z_eson_in	med_z_eson_in	max_z_esoff_out	med_z_esoff_out	max_pc_esoff_in	med_pc_esoff_in	max_pc_eson_out	med_pc_eson_out	max_z_esoff_in	med_z_esoff_in	max_z_eson_out	med_z_eson_out
24	400	1	0.014039777075434134	-0.01385580970906708	0.012755970503731895	-0.0023102871244726764	-0.2640780731274941	0.21767506598090788	0.557239075270135	0.03170854822366985	0.7782122038570782	0.6994549223857411	0.7647718695780935	0.606458148438462	1.6073891343201077	0.16264283360394827	1.906248841807276	0.06188300653523092	0.7641724267816441	0.7133107320948082	0.7775278400818254	0.6041478613139893	1.8714672074476018	-0.05503223237695962	2.463487917077411	0.09359155475890077
25	320	6	0.0011451306419072438	0.015037361455905618	-0.0038053918947962284	0.000325262265516324	-0.02203699913018431	-0.013497946269354882	0.3319327488180721	0.0	0.8373158712745394	0.7510686969503677	0.8787909885573223	0.784650312370978	2.0757475892233184	0.06254250639048037	2.1591129506174367	0.0	0.8361707406326322	0.7360313354944621	0.8749855966625261	0.7849755746364944	2.0977845883535027	0.07604045265983525	2.491045699435509	0.0
28	303	4	0.014633341745407646	-0.03054940360769587	0.01989895642937023	0.010003977139363185	-0.05510570095773004	0.028929299405607692	-0.2641764996360756	-0.08595431161589293	0.8188145077553896	0.6351795468021888	0.8003822673487322	0.6515427529709705	1.6970734901504518	0.07300239259196906	2.381104978684815	0.1309135068356101	0.8041811660099819	0.6657289504098847	0.8202812237781024	0.6615467301103337	1.7521791911081819	0.044073093186361365	2.1169284790487395	0.04495919521971716
30	314	2	-0.018310282269821898	0.04307329834417306	0.00013255244226162421	0.008381317323240989	-0.015504745830018152	0.00349090340393389	-0.05049623349620691	0.0	0.8183167413376603	0.6570955135442308	0.8542191904443512	0.7295865183209294	1.6588419090033806	0.07016615546239163	1.7298626075242218	0.0	0.8366270236074822	0.6140222152000577	0.8543517428866129	0.7379678356441703	1.6743466548333987	0.06667525205845774	1.679366374028015	0.0
34	307	7	-0.002541397757163888	-0.0011579269064563302	-0.014781910909749563	-0.019397203786135075	0.27854254645158205	0.04196574819350226	-0.555674335911676	0.0280297261811479	0.8070088982867902	0.6881343715914132	0.8308168037181389	0.7147760786080868	1.8658982031204503	0.07578326459028903	2.394068269915291	0.06119039983432569	0.8095502960439541	0.6892922984978695	0.8160348928083894	0.6953788748219517	1.5873556566688682	0.03381751639678677	1.8383939340036148	0.08922012601547359
35	399	1	-0.003434486714297025	-0.03595693153168378	-0.018788933628697713	-0.057507601950430476	0.03379792963016559	-0.055841239470475916	0.17942693866572168	-0.00467714559331716	0.7506441407304576	0.5768453022865803	0.7706941492450399	0.6428370733429134	2.0986524532739192	0.04051800246356655	1.9702793274924424	0.043777943024931994	0.7540786274447546	0.612802233818264	0.7519052156163422	0.5853294713924829	2.0648545236437537	0.09635924193404247	2.149706266158164	0.039100797431614834
37	399	3	0.021787883551469323	0.05117929790721687	-0.0146638709686574	0.048026688575751986	-0.1949138950027507	0.02946484363208609	-0.10044700695039266	0.08634406567678912	0.7637457055968992	0.6155789783847857	0.7858712476649253	0.6130650980107177	2.072927215053656	0.08822775507007428	2.256927573174001	0.06666148894608795	0.7419578220454299	0.5643996804775688	0.7712073766962679	0.6610917865864697	2.267841110056407	0.058762911437988195	2.156480566223608	0.15300555462287707
39	292	1	-0.004358012039928472	0.054563374601199865	-0.01129673068942616	0.014060997889235094	0.4051070353984525	0.002645272017224809	-0.14421697012770895	0.022413592119316372	0.8679169716243775	0.7607766161749641	0.8894533044389465	0.7418300983684957	2.062592393266156	0.13778223598293637	2.0106768012707046	0.06377628216536241	0.872274983664306	0.7062132415737642	0.8781565737495204	0.7558910962577308	1.6574853578677036	0.13513696396571157	1.8664598311429956	0.08618987428467878
40	335	3	0.007137703113445526	0.028457412991499176	0.003254786560376477	0.02325059121672257	-0.041847605513505526	-0.11833780103606194	-0.003365034815773882	-0.1700282449497609	0.7564461854460376	0.6445978014420419	0.7639048175850787	0.5813537639972879	1.3908271634997798	0.12176951818703262	1.857619805037397	0.23153044810111229	0.7493084823325921	0.6161403884505428	0.7671596041454551	0.6046043552140105	1.4326747690132853	0.24010731922309456	1.8542547702216232	0.061502203151351374
41	413	2	-0.023256270931209744	0.0013450409639509386	0.004038488685660702	0.013846089388488525	-0.2514986415254423	0.018272874379518578	-0.04376175432462981	0.08647848112018452	0.8161715612758538	0.7718123323780588	0.8483859541272278	0.720941657135361	1.5245502485860405	0.2229941482391094	2.002813683392984	0.08025042580063466	0.8394278322070635	0.7704672914141079	0.8524244428128885	0.7347877465238495	1.7760488901114828	0.20472127385959082	1.9590519290683543	0.16672890692081918
