	name	inmask
212	7Networks_RH_Vis_12	1
213	7Networks_RH_Vis_13	1
214	7Networks_RH_Vis_14	1
215	7Networks_RH_Vis_15	1
216	7Networks_RH_Vis_16	1
217	7Networks_RH_Vis_17	1
218	7Networks_RH_Vis_18	1
219	7Networks_RH_Vis_19	1
220	7Networks_RH_Vis_20	1
221	7Networks_RH_Vis_21	1
222	7Networks_RH_Vis_22	1
223	7Networks_RH_Vis_23	1
224	7Networks_RH_Vis_24	1
225	7Networks_RH_Vis_25	1
226	7Networks_RH_Vis_26	1
227	7Networks_RH_Vis_27	1
228	7Networks_RH_Vis_28	1
229	7Networks_RH_Vis_29	1
230	7Networks_RH_Vis_30	1
231	7Networks_RH_SomMot_1	0
232	7Networks_RH_SomMot_2	1
233	7Networks_RH_SomMot_3	1
234	7Networks_RH_SomMot_4	0
235	7Networks_RH_SomMot_5	1
236	7Networks_RH_SomMot_6	1
237	7Networks_RH_SomMot_7	1
238	7Networks_RH_SomMot_8	0
239	7Networks_RH_SomMot_9	1
240	7Networks_RH_SomMot_10	1
241	7Networks_RH_SomMot_11	1
242	7Networks_RH_SomMot_12	1
243	7Networks_RH_SomMot_13	1
244	7Networks_RH_SomMot_14	0
245	7Networks_RH_SomMot_15	1
246	7Networks_RH_SomMot_16	1
247	7Networks_RH_SomMot_17	1
248	7Networks_RH_SomMot_18	1
249	7Networks_RH_SomMot_19	1
250	7Networks_RH_SomMot_20	1
251	7Networks_RH_SomMot_21	1
252	7Networks_RH_SomMot_22	1
253	7Networks_RH_SomMot_23	1
254	7Networks_RH_SomMot_24	1
255	7Networks_RH_SomMot_25	1
256	7Networks_RH_SomMot_26	1
257	7Networks_RH_SomMot_27	1
258	7Networks_RH_SomMot_28	1
259	7Networks_RH_SomMot_29	1
260	7Networks_RH_SomMot_30	1
261	7Networks_RH_SomMot_31	1
262	7Networks_RH_SomMot_32	1
263	7Networks_RH_SomMot_33	1
264	7Networks_RH_SomMot_34	1
265	7Networks_RH_SomMot_35	1
266	7Networks_RH_SomMot_36	1
267	7Networks_RH_SomMot_37	1
268	7Networks_RH_SomMot_38	1
269	7Networks_RH_SomMot_39	1
270	7Networks_RH_SomMot_40	1
271	7Networks_RH_DorsAttn_Post_1	1
272	7Networks_RH_DorsAttn_Post_2	0
273	7Networks_RH_DorsAttn_Post_3	0
274	7Networks_RH_DorsAttn_Post_4	1
275	7Networks_RH_DorsAttn_Post_5	1
276	7Networks_RH_DorsAttn_Post_6	1
277	7Networks_RH_DorsAttn_Post_7	1
278	7Networks_RH_DorsAttn_Post_8	1
279	7Networks_RH_DorsAttn_Post_9	1
280	7Networks_RH_DorsAttn_Post_10	1
281	7Networks_RH_DorsAttn_Post_11	1
282	7Networks_RH_DorsAttn_Post_12	1
283	7Networks_RH_DorsAttn_Post_13	1
284	7Networks_RH_DorsAttn_Post_14	1
285	7Networks_RH_DorsAttn_Post_15	1
286	7Networks_RH_DorsAttn_Post_16	1
287	7Networks_RH_DorsAttn_Post_17	1
288	7Networks_RH_DorsAttn_Post_18	1
289	7Networks_RH_DorsAttn_Post_19	1
290	7Networks_RH_DorsAttn_FEF_1	1
291	7Networks_RH_DorsAttn_FEF_2	1
292	7Networks_RH_DorsAttn_FEF_3	1
293	7Networks_RH_DorsAttn_PrCv_1	1
294	7Networks_RH_SalVentAttn_TempOccPar_1	0
295	7Networks_RH_SalVentAttn_TempOccPar_2	1
296	7Networks_RH_SalVentAttn_TempOccPar_3	0
297	7Networks_RH_SalVentAttn_TempOccPar_4	0
298	7Networks_RH_SalVentAttn_TempOccPar_5	0
