	abbr	color	name	xyz
217		#7c128b	7Networks_RH_Vis_17	
218		#7c128c	7Networks_RH_Vis_18	
219		#7c128d	7Networks_RH_Vis_19	
220		#7c128e	7Networks_RH_Vis_20	
221		#7c1387	7Networks_RH_Vis_21	
222		#7c1388	7Networks_RH_Vis_22	
223		#7c1389	7Networks_RH_Vis_23	
224		#7c138a	7Networks_RH_Vis_24	
225		#7c138b	7Networks_RH_Vis_25	
226		#7c138c	7Networks_RH_Vis_26	
227		#7c138d	7Networks_RH_Vis_27	
228		#7c138e	7Networks_RH_Vis_28	
229		#7c1487	7Networks_RH_Vis_29	
230		#7c1488	7Networks_RH_Vis_30	
231		#4a80b3	7Networks_RH_SomMot_1	
232		#4a80b4	7Networks_RH_SomMot_2	
233		#4a80b5	7Networks_RH_SomMot_3	
234		#4a81ae	7Networks_RH_SomMot_4	
235		#4a81af	7Networks_RH_SomMot_5	
236		#4a81b0	7Networks_RH_SomMot_6	
237		#4a81b1	7Networks_RH_SomMot_7	
238		#4a81b2	7Networks_RH_SomMot_8	
239		#4a81b3	7Networks_RH_SomMot_9	
240		#4a81b4	7Networks_RH_SomMot_10	
241		#4a81b5	7Networks_RH_SomMot_11	
242		#4a82ae	7Networks_RH_SomMot_12	
243		#4a82af	7Networks_RH_SomMot_13	
244		#4a82b0	7Networks_RH_SomMot_14	
245		#4a82b1	7Networks_RH_SomMot_15	
246		#4a82b2	7Networks_RH_SomMot_16	
247		#4a82b3	7Networks_RH_SomMot_17	
248		#4a82b4	7Networks_RH_SomMot_18	
249		#4a82b6	7Networks_RH_SomMot_19	
250		#4a82b7	7Networks_RH_SomMot_20	
251		#4a82b8	7Networks_RH_SomMot_21	
252		#4a82b9	7Networks_RH_SomMot_22	
253		#4a82ba	7Networks_RH_SomMot_23	
254		#4a82bb	7Networks_RH_SomMot_24	
255		#4a82bc	7Networks_RH_SomMot_25	
256		#4a83b5	7Networks_RH_SomMot_26	
257		#4a83b6	7Networks_RH_SomMot_27	
258		#4a83b7	7Networks_RH_SomMot_28	
259		#4a83b8	7Networks_RH_SomMot_29	
260		#4a83b9	7Networks_RH_SomMot_30	
261		#4a83ba	7Networks_RH_SomMot_31	
262		#4a83bb	7Networks_RH_SomMot_32	
263		#4a83bc	7Networks_RH_SomMot_33	
264		#4a84b5	7Networks_RH_SomMot_34	
265		#4a84b6	7Networks_RH_SomMot_35	
266		#4a84b7	7Networks_RH_SomMot_36	
267		#4a84b8	7Networks_RH_SomMot_37	
268		#4a84b9	7Networks_RH_SomMot_38	
269		#4a84ba	7Networks_RH_SomMot_39	
270		#4a84bb	7Networks_RH_SomMot_40	
271		#04760f	7Networks_RH_DorsAttn_Post_1	
272		#047708	7Networks_RH_DorsAttn_Post_2	
273		#047709	7Networks_RH_DorsAttn_Post_3	
274		#04770a	7Networks_RH_DorsAttn_Post_4	
275		#04770b	7Networks_RH_DorsAttn_Post_5	
276		#04770c	7Networks_RH_DorsAttn_Post_6	
277		#04770d	7Networks_RH_DorsAttn_Post_7	
278		#04770e	7Networks_RH_DorsAttn_Post_8	
279		#047710	7Networks_RH_DorsAttn_Post_9	
280		#047711	7Networks_RH_DorsAttn_Post_10	
281		#047712	7Networks_RH_DorsAttn_Post_11	
282		#047713	7Networks_RH_DorsAttn_Post_12	
283		#047714	7Networks_RH_DorsAttn_Post_13	
284		#047715	7Networks_RH_DorsAttn_Post_14	
285		#047716	7Networks_RH_DorsAttn_Post_15	
286		#04780f	7Networks_RH_DorsAttn_Post_16	
287		#047810	7Networks_RH_DorsAttn_Post_17	
288		#047811	7Networks_RH_DorsAttn_Post_18	
289		#047812	7Networks_RH_DorsAttn_Post_19	
290		#05760f	7Networks_RH_DorsAttn_FEF_1	
291		#057610	7Networks_RH_DorsAttn_FEF_2	
292		#057611	7Networks_RH_DorsAttn_FEF_3	
293		#057612	7Networks_RH_DorsAttn_PrCv_1	
294		#c93af9	7Networks_RH_SalVentAttn_TempOccPar_1	
295		#c93afa	7Networks_RH_SalVentAttn_TempOccPar_2	
296		#c93afc	7Networks_RH_SalVentAttn_TempOccPar_3	
297		#c93afd	7Networks_RH_SalVentAttn_TempOccPar_4	
298		#c93afe	7Networks_RH_SalVentAttn_TempOccPar_5	
299		#c93aff	7Networks_RH_SalVentAttn_TempOccPar_6	
300		#c633fa	7Networks_RH_SalVentAttn_TempOccPar_7	
301		#c93bfb	7Networks_RH_SalVentAttn_PrC_1	
302		#c93bf9	7Networks_RH_SalVentAttn_FrOper_1	
303		#c93bfa	7Networks_RH_SalVentAttn_FrOper_2	
304		#c93bfc	7Networks_RH_SalVentAttn_FrOper_3	
305		#c93bfd	7Networks_RH_SalVentAttn_FrOper_4	
306		#c93bfe	7Networks_RH_SalVentAttn_FrOper_5	
307		#c93bff	7Networks_RH_SalVentAttn_FrOper_6	
308		#c634fa	7Networks_RH_SalVentAttn_FrOper_7	
309		#c634fb	7Networks_RH_SalVentAttn_FrOper_8	
310		#c839fb	7Networks_RH_SalVentAttn_PFCl_1	
311		#c839f7	7Networks_RH_SalVentAttn_Med_1	
312		#c839f8	7Networks_RH_SalVentAttn_Med_2	
313		#c839fa	7Networks_RH_SalVentAttn_Med_3	
314		#c839fc	7Networks_RH_SalVentAttn_Med_4	
315		#c839fd	7Networks_RH_SalVentAttn_Med_5	
316		#c839fe	7Networks_RH_SalVentAttn_Med_6	
317		#c839ff	7Networks_RH_SalVentAttn_Med_7	
318		#c83af9	7Networks_RH_SalVentAttn_Med_8	
319		#e0f9a3	7Networks_RH_Limbic_OFC_1	
320		#e0f9a5	7Networks_RH_Limbic_OFC_2	
321		#e0f9a6	7Networks_RH_Limbic_OFC_3	
322		#e0f9a7	7Networks_RH_Limbic_OFC_4	
323		#e0f9a8	7Networks_RH_Limbic_OFC_5	
324		#e0f9a9	7Networks_RH_Limbic_OFC_6	
325		#e0f9a4	7Networks_RH_Limbic_TempPole_1	
326		#e0f9aa	7Networks_RH_Limbic_TempPole_2	
327		#e0f9ab	7Networks_RH_Limbic_TempPole_3	
328		#e0f9ac	7Networks_RH_Limbic_TempPole_4	
329		#e0faa5	7Networks_RH_Limbic_TempPole_5	
330		#e0faa6	7Networks_RH_Limbic_TempPole_6	
331		#e0faa7	7Networks_RH_Limbic_TempPole_7	
332		#ea9321	7Networks_RH_Cont_Par_1	
333		#ea9323	7Networks_RH_Cont_Par_2	
334		#ea9324	7Networks_RH_Cont_Par_3	
335		#ea9325	7Networks_RH_Cont_Par_4	
336		#ea9326	7Networks_RH_Cont_Par_5	
337		#ea9327	7Networks_RH_Cont_Par_6	
338		#ea9322	7Networks_RH_Cont_Temp_1	
339		#ea9328	7Networks_RH_Cont_Temp_2	
340		#e99423	7Networks_RH_Cont_PFCv_1	
341		#e9941b	7Networks_RH_Cont_PFCl_1	
342		#e9941c	7Networks_RH_Cont_PFCl_2	
343		#e9941d	7Networks_RH_Cont_PFCl_3	
344		#e9941e	7Networks_RH_Cont_PFCl_4	
345		#e9941f	7Networks_RH_Cont_PFCl_5	
346		#e99420	7Networks_RH_Cont_PFCl_6	
347		#e99422	7Networks_RH_Cont_PFCl_7	
348		#e99424	7Networks_RH_Cont_PFCl_8	
349		#e99425	7Networks_RH_Cont_PFCl_9	
350		#e99426	7Networks_RH_Cont_PFCl_10	
351		#e99427	7Networks_RH_Cont_PFCl_11	
352		#e99428	7Networks_RH_Cont_PFCl_12	
353		#e99521	7Networks_RH_Cont_PFCl_13	
354		#e99522	7Networks_RH_Cont_PFCl_14	
355		#e99523	7Networks_RH_Cont_PFCl_15	
356		#e99323	7Networks_RH_Cont_pCun_1	
357		#e99324	7Networks_RH_Cont_pCun_2	
358		#e99322	7Networks_RH_Cont_Cing_1	
359		#e99325	7Networks_RH_Cont_Cing_2	
360		#ea9425	7Networks_RH_Cont_PFCmp_1	
361		#ea9426	7Networks_RH_Cont_PFCmp_2	
362		#d13e4c	7Networks_RH_Default_Par_1	
363		#d13e4e	7Networks_RH_Default_Par_2	
364		#d13e4f	7Networks_RH_Default_Par_3	
365		#d13e50	7Networks_RH_Default_Par_4	
366		#d13e51	7Networks_RH_Default_Par_5	
367		#d13d4c	7Networks_RH_Default_Temp_1	
368		#d13d4d	7Networks_RH_Default_Temp_2	
369		#d13d4f	7Networks_RH_Default_Temp_3	
370		#d13d50	7Networks_RH_Default_Temp_4	
371		#d13d51	7Networks_RH_Default_Temp_5	
372		#d13d52	7Networks_RH_Default_Temp_6	
373		#d13d53	7Networks_RH_Default_Temp_7	
374		#d13d54	7Networks_RH_Default_Temp_8	
375		#d13d4e	7Networks_RH_Default_PFCv_1	
376		#d13e4d	7Networks_RH_Default_PFCv_2	
377		#d13e52	7Networks_RH_Default_PFCv_3	
378		#d13e53	7Networks_RH_Default_PFCv_4	
379		#d03e49	7Networks_RH_Default_PFCm_1	
380		#d03e4a	7Networks_RH_Default_PFCm_2	
381		#d03e4b	7Networks_RH_Default_PFCm_3	
382		#d03e4c	7Networks_RH_Default_PFCm_4	
383		#d03e4d	7Networks_RH_Default_PFCm_5	
384		#d03e4f	7Networks_RH_Default_PFCm_6	
385		#d03e50	7Networks_RH_Default_PFCm_7	
